epoch,train_loss,train_error,valid_loss,valid_error,test_error
273,0.002244,0.000156,0.24619,0.05220,
274,0.002039,0.000156,0.25381,0.05380,
275,0.002136,0.000133,0.24238,0.05180,
276,0.002577,0.000378,0.24580,0.05340,
277,0.002018,0.000178,0.23889,0.05180,
278,0.002239,0.000200,0.24644,0.05260,
279,0.002061,0.000156,0.24335,0.05340,
280,0.001973,0.000067,0.24726,0.05160,
281,0.002066,0.000156,0.23946,0.05120,
282,0.002078,0.000133,0.24358,0.05200,
283,0.002096,0.000111,0.24787,0.05420,
284,0.002023,0.000067,0.23859,0.05120,
285,0.002038,0.000156,0.24389,0.05420,
286,0.001947,0.000133,0.24470,0.05140,
287,0.002118,0.000200,0.24819,0.05320,
288,0.001918,0.000133,0.24115,0.05220,
289,0.001672,0.000000,0.25419,0.05080,
290,0.001966,0.000111,0.25120,0.05080,
291,0.002121,0.000200,0.24844,0.05160,
292,0.001908,0.000156,0.24861,0.05140,
293,0.002002,0.000089,0.24368,0.05100,
294,0.002070,0.000200,0.24534,0.05040,
295,0.001952,0.000111,0.24596,0.05200,
296,0.001945,0.000178,0.24251,0.05200,
297,0.002043,0.000200,0.24208,0.05180,
298,0.002067,0.000200,0.24640,0.05360,
299,0.001905,0.000089,0.25260,0.05240,
300,0.001835,0.000089,0.24303,0.04940,
,,,,,0.05000
